건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
연립,육군,지상작전사령부,선봉캐슬,경기도,용인시 처인구,역북동,,2009,19,,,,,19
아파트,육군,지상작전사령부,온누리아파트,경기도,용인시 처인구,역북동,,2013,480,,120,240,120,
아파트,육군,지상작전사령부,한누리아파트,경기도,용인시 처인구,김량장동,,2009,258,,,112,124,22
아파트,육군,지상작전사령부,LG아파트,경기도,광주시,곤지암읍,곤지암리,1997,4,,4,,,
아파트,육군,지상작전사령부,동보아파트,경기도,광주시,탄벌동,,1996,2,,2,,,
아파트,육군,지상작전사령부,밀목아파트,경기도,광주시,송정동,,1995,32,,32,,,
아파트,육군,지상작전사령부,반도유보라아이비파크,경기도,의정부시,민락동,,2017,9,,,9,,
아파트,육군,지상작전사령부,호반베르디움 1차,경기도,의정부시,민락동,,2017,13,,,13,,
연립,육군,36사단,연립관사,강원도,평창군,대화면,하안미리,2001,6,,6,,,
아파트,육군,36사단,금광포란재아파트,강원도,횡성군,횡성읍,읍하리,2001,10,,10,,,
아파트,육군,36사단,남청아파트,강원도,태백시,황지동,,1997,5,,5,,,
아파트,육군,36사단,대동아파트,강원도,횡성군,횡성읍,읍하리,1998,11,,,,11,
아파트,육군,36사단,둥지아파트,강원도,영월군,영월읍,덕포리,1995,23,23,,,,
아파트,육군,36사단,미소빌아파트,강원도,정선군,정선읍,북실리,1997,4,,,4,,
아파트,육군,36사단,배말타운아파트,강원도,원주시,봉산동,,2004,15,,,,15,
아파트,육군,36사단,삼정백조아파트,강원도,원주시,태장동,,1998,23,,,23,,
아파트,육군,36사단,서초아파트,강원도,원주시,개운동,,1999,14,,14,,,
아파트,육군,36사단,이안아파트,강원도,횡성군,횡성읍,읍상리,2009,13,,,,13,
아파트,육군,36사단,강릉 입암현대아파트,강원도,강릉시,입암동,,1998,20,,20,,,
아파트,육군,36사단,진로아파트,강원도,원주시,원동,,1999,30,,30,,,
연립,육군,36사단,태봉빌라,강원도,원주시,단구동,,1997,12,,,,,12
아파트,육군,36사단,통일아파트,강원도,원주시,단구동,,1994,470,,470,,,
아파트,육군,36사단,팔마아파트,강원도,태백시,화전동,,2001,10,,,10,,
아파트,육군,36사단,횡계 알펜로제아파트,강원도,평창군,대관령면,횡계리,2008,10,,10,,,
아파트,육군,36사단,흥화브라운빌아파트,강원도,원주시,태장동,,2006,115,,,,115,
아파트,육군,1군지사,금호어울림아파트,강원도,강릉시,입암동,,2007,12,,,,12,
아파트,육군,1군지사,삼정백조아파트,강원도,원주시,태장동,,1998,40,,,40,,
아파트,육군,1군지사,입암현대아파트,강원도,강릉시,입암동,,1998,35,,24,,11,
