구분,시설명,주소,연락처
기숙사,대방학사1관,서울시 영등포구여의대방로 49길 3,02-847-0981
기숙사,대방학사2관,서울시 영등포구여의대방로 43라길 17,02-832-2219
기숙사,도봉학사,경기도 의정부시호암로 129,031-878-2090
기숙사,무등학사,광주광역시 동구학소로 62번길 14-45번지,062-226-0164
기숙사,무열학사,대구시 달서구와룡로 51길 36,053-750-6917
기숙사,소양학사,강원도 춘천시충열로 80,033-242-6284
기숙사,송파학사,서울특별시 송파구위례순환로 364,02-402-3631
기숙사,자운학사,대전광역시 유성구자운로97번길 308,042-878-5990
기숙사,치악학사,강원도 원주시치악로 1692,033-763-0575
기숙사,칠보학사,경기도 화성시매송면 화성로 2435,031-293-8574
기숙사,해운학사,부산광역시 수영구망미번영로 70번길 75호,051-750-4000
체력단련장,남수원 체력단련장,경기도 화성시 황계남길21-10,031-229-9200
체력단련장,동여주 체력단련장,경기도 여주시 가남읍 그랜드그린길107,031-887-8444
체력단련장,밀리토피아 골프연습장,경기 하남시 위례대로2길20,02-3400-0700
체력단련장,처인 체력단련장,경기도 용인시 처인구 이동면 이원로384번길 71,031-330-8200
체력단련장,태릉 체력단련장,서울시 노원구 화랑로682,02-970-7320
호텔/콘도,국방컨벤션,서울 용산구 용산동 3가 1번지이태원로 22,02-748-0744
호텔/콘도,금호 설악,강원도 속초시 노학동 사당골길43,033-636-8000
호텔/콘도,금호 제주,제주도 서귀포시 남원읍 남원리2384-1,064-766-8000
호텔/콘도,금호 통영,경남 통영시 도남2동645,055-643-8000
호텔/콘도,금호 화순,전남 화순군 북면 옥리510-1,061-372-8000
호텔/콘도,대천콘도1관,충청남도 보령시 갓바위1길10-30,041-932-6305
호텔/콘도,대천콘도2관,충남 보령시 남포방조제로139,041-934-0504
호텔/콘도,리솜 레스트리(제천),충청북도 제천시 백운면 금봉로 365리솜 레스트리,043-649-6000
호텔/콘도,리솜 스플라스(덕산),충남 예산군덕산면 사동리 361,041-330-8000
호텔/콘도,리솜 아일랜드(안면도),충청남도 태안군 안면읍 꽃지해안로 204리솜 아일랜드,041-671-7000
호텔/콘도,무주 덕유산,전북 무주군설천면 심곡리 산 43-15,063-320-7000
호텔/콘도,밀리토피아 호텔(민간위탁),경기도 성남시 수정구 위례대로83,031-727-9300
호텔/콘도,베어스타운,경기도 포천시내촌면 소학리 295,031-540-5000
호텔/콘도,보광휘닉스 제주,제주도 서귀포시성산읍 섭지코지로 107,1577-0069
호텔/콘도,서귀포호텔,제주특별자치도 서귀포시 상예로319,064-738-0123
호텔/콘도,소노 소노문 단양,충북 단양군 단양읍 상진리4-1,1588-4888
호텔/콘도,소노 소노문 델피노,강원도 고성군 토성면 원암리403-1,1588-4888
호텔/콘도,소노 소노문 양평,경기도 양평군 개군면 공세리389-7,1588-4888
호텔/콘도,소노 소노벨 경주,경북 경주시 신평동400-1,1588-4888
호텔/콘도,소노 소노벨 변산,전북 부안군 변산면 격포리257,1588-4888
호텔/콘도,손조 소노벨 비발디파크,강원도 홍천군 서면 필봉리1290-14,1588-4888
호텔/콘도,소노 소노벨 천안,충청남도 천안시 동남구 성남면 종합휴양지로 200소노벨 천안,1588-4888
호텔/콘도,소노 소노벨 청송,경상북도 청송군 부동면 주왕산로 493소노벨 청송,1588-4888
호텔/콘도,소노 소노캄 거제,경남 거제시 일운면 소동리115,1588-4888
호텔/콘도,소노 소노캄 여수,전라남도 여수시 오동도로 111소노캄 여수,061-660-5800
호텔/콘도,소노캄제주(샤인빌),제주도 서귀포시표선면 일주동로 6347-17,1588-4888
호텔/콘도,송정콘도,강원도 강릉시 창해로141,033-652-7571
호텔/콘도,신세계(영랑호),강원도 속초시금호동 600-7,033-633-0001
호텔/콘도,소노 쏠비치 삼척,강원도 삼척시 수로부인길 453소노 쏠비치 삼척,1588-4888
호텔/콘도,소노 쏠비치 양양,강원도 양양군 손양면 오산리산2-1,1588-4888
호텔/콘도,소노 쏠비치 진도,전라남도 진도군 의신면 송군길 31-30쏠비치진도,1588-4888
호텔/콘도,엘도라도(신안),전남 신안군증도면 지도증도로 1766-1,061-260-3300
호텔/콘도,웰리힐리파크,강원도 횡성군둔내리 204,033-340-3000
호텔/콘도,청간정카라반,강원도 토성군토성면 중앙로 644-22,02-2027-4745
호텔/콘도,청간정콘도,강원도 고성군 토성면 중앙로642-22,033-631-9331
호텔/콘도,켄싱턴 가평,경기도 가평군상면 덕현리 402-10,031-584-9380
호텔/콘도,켄싱턴 경주,경북 경주시 북군동11-1,054-748-8400
호텔/콘도,켄싱턴 서귀포,제주도 서귀포시강정동 2677,064-739-9001
호텔/콘도,켄싱턴 설악 밸리,강원도 고성군 토성면 신평골길 8-25켄싱턴리조트 설악밸리,033-633-0100
호텔/콘도,켄싱턴 설악비치,강원도 고성군 토성면 봉포리40-9,033-631-7601
호텔/콘도,켄싱턴 지리산 남원,전북 남원시 어현동37-122,063-636-7007
호텔/콘도,켄싱턴 충주,충북 충주시 양성면 돈산리155-1,043-857-0055
호텔/콘도,켄싱턴 하동,경상남도 하동군 화개면 쌍계로 532-6켄싱턴하동리조트,055-880-8000
호텔/콘도,켄싱턴 해운대,부산광역시 해운대구 해운대해변로 243켄싱턴해운대(글로리)콘도,051-746-8181
호텔/콘도,한화 거제(벨버디어),경상남도 거제시 장목면거제북로 2501-40,1670-9977
호텔/콘도,한화 경주(에톤),경북 경주시 북군동30-3,054-745-8060
