운영구분,시설명,지역1,지역2,우편번호,주소1,주소2,일반전화,축제행사,운용객실홀수또는수용능력,입실시간,퇴실시간,시설규모,부대시설,취사가능여부,체크인대상,유의사항,시설테마,넓이,객실수,인원수,전망구분,이용요금계산법,현역군무원비수기,현역군무원휴일주말,현역군무원성수기,예비역및기타비수기,예비역및기타휴일주말,예비역및기타성수기,비회원비수기,비회원휴일주말,비회원성수기,적용기준일
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,148.7㎡(45),2,8,바다전망/양한실(쓰리룸형),,108000,122000,143000,119000,135000,157000,146000,196000,229000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,49.6㎡(양실),4,2,바다전망/양실(원룸형),,42000,61000,74000,46000,67000,82000,57000,98000,119000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,49.6㎡(한실),8,4,바다전망/한실(원룸형),,42000,61000,74000,45000,67000,82000,57000,98000,119000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,66.1㎡(20),4,4,바다비전망/양한실(투룸형),,54000,71000,90000,59000,79000,99000,73000,114000,144000,
국방부,대천콘도1관,충청,충남,355943,충청남도 보령시 갓바위1길,10월 30일,041-932-6305,,가용객실 47실,15:00,11:00,"지하1층,지상5층","충성마트, 노래연습장, 세미나실, 체육시설, PC방, 바비큐장",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,72.7㎡(22),29,6,바다전망/양한실(투룸형),,60000,77000,95000,66000,84000,105000,81000,122000,153000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,105.8㎡(32),5,7,바다비전망(베란다없음),,66000,77000,95000,73000,84000,105000,89000,122000,152000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,125.6㎡(38),2,7,바다비전망(베란다없음),,78000,87000,106000,86000,95000,117000,105000,139000,170000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,42.9㎡(13),7,4,바다비전망(베란다없음),,30000,41000,53000,33000,45000,58000,41000,65000,85000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,59.5㎡(18),10,4,바다비전망(베란다없음),,36000,46000,64000,40000,50000,70000,49000,73000,102000,
국방부,대천콘도2관,충청,충남,355-944,충남 보령시 남포방조제로,139,041-934-0504,,38객실,15:00,11:00,"지하1층, 지상4층","세미나실, 공동취사장,휴게실,회의실, 트램폴린",가능,가족가능(의료보험증 사본 또는 주민등록증 등 가족임을  증명할 수 있는 서류와 가족 신분증 제시),"※ 가족범위 : 회원의 직계 존.비속과 배우자의 직계 존속(회원 직계가족임을 증명할 수 없는 경우 입실 불가)※ 기준인원 초과시 1인당 5,000원 추가비용이 발생됩니다.",바다,72.7㎡(22),3,5,"바다비전망(베란다없음,양실방1개, 거실겸부엌,화장실겸샤워장)",,48000,61000,74000,53000,67000,82000,65000,98000,119000,
