행번호,판매년도,판매월,선정기준,상품명
1,2015,04,금액,LGU군인카드
2,2015,04,금액,공화춘자장컵
3,2015,04,금액,듀이트리울트라바이탈라이징스네일크림
4,2015,04,금액,맥심모카골드마일드 커피믹스
5,2015,04,금액,박카스에이 캔
6,2015,04,금액,칠성사이다(캔)
7,2015,04,금액,코카콜라(1.5L)
8,2015,04,금액,코카콜라(250ml)
9,2015,04,금액,포카리캔
10,2015,04,금액,홍삼원세트
11,2015,04,수량,코카콜라(250ml)
12,2015,04,수량,포카리캔
13,2015,04,수량,칠성사이다(캔)
14,2015,04,수량,조지아맥스
15,2015,04,수량,자유시간쿠키
16,2015,04,수량,박카스에이 캔
17,2015,04,수량,초코에몽
18,2015,04,수량,신라면
19,2015,04,수량,싱그린화장지
20,2015,04,수량,코코팜 화이트 요구르트
21,2015,05,금액,LGU군인카드
22,2015,05,금액,뉴트리팩
23,2015,05,금액,듀이트리울트라바이탈라이징스네일크림
24,2015,05,금액,맥심모카골드마일드 커피믹스
25,2015,05,금액,박카스에이 캔
26,2015,05,금액,칠성사이다(캔)
27,2015,05,금액,코카콜라(250㎖)
28,2015,05,금액,코카콜라(1.5L)
29,2015,05,금액,포카리캔
30,2015,05,금액,홍삼원세트
31,2015,05,수량,박카스에이 캔
32,2015,05,수량,싱그린화장지
33,2015,05,수량,신라면
34,2015,05,수량,조지아맥스
35,2015,05,수량,자유시간쿠키
36,2015,05,수량,칠성사이다(캔)
37,2015,05,수량,초코에몽
38,2015,05,수량,코카콜라(250㎖)
39,2015,05,수량,포카리캔
40,2015,05,수량,환타오렌지
41,2015,06,금액,LGU군인카드
42,2015,06,금액,갈색설탕
43,2015,06,금액,듀이트리울트라바이탈라이징스네일크림
44,2015,06,금액,맥심모카골드마일드 커피믹스
45,2015,06,금액,박카스에이 캔
46,2015,06,금액,코카콜라(250㎖)
47,2015,06,금액,코카콜라(1.5L)
48,2015,06,금액,코카콜라600ml
49,2015,06,금액,포카리캔
50,2015,06,금액,홍삼원세트
51,2015,06,수량,박카스에이 캔
52,2015,06,수량,스프라이트
53,2015,06,수량,싱그린화장지
54,2015,06,수량,암바사캔
55,2015,06,수량,조지아맥스
56,2015,06,수량,칠성사이다(캔)
57,2015,06,수량,코카콜라(250㎖)
58,2015,06,수량,코코팜 화이트 요구르트
59,2015,06,수량,포카리캔
60,2015,06,수량,환타오렌지
61,2015,07,금액,LGU군인카드
62,2015,07,금액,듀이트리울트라바이탈라이징스네일크림
63,2015,07,금액,맥심모카골드마일드 커피믹스
