순번,시설 명,위치 주소,객실 수량,규모,연락처,부대시설,홈페이지 주소
1,서귀포호텔,제주도 서귀포시 상예로 319,64,지상 7층,064-738-0123,"노래방, 연회장, 스카이라운지, 식당, 커피숍, 매장",www.welfare.mil.kr
2,송정콘도,강원도 강릉시 창해로 141,42,지상 3층,033-652-7571,"세미나실, 마트, 노래방",www.welfare.mil.kr
3,대천콘도1관,충남 보령시 갓바위 1길 10-30,47,지상 5층,041-932-6305,"노래방, 세미나실, 마트, 배구장",www.welfare.mil.kr
4,대천콘도2관,충남 보령시 남포방조제로 139,38,지상 4층,041-934-0504,"세미나실, 노래방",www.welfare.mil.kr
5,화진포콘도,강원도 고성군 거진읍 화진포길 330,55,지상 4층,033-682-0500,"노래방, 연회실, 식당, 마트",www.welfare.mil.kr
6,청간정콘도,강원도 고성군 토성면 중앙로 644,37,지상 6층,033-631-9331,"노래방, 사우나, 커피숍, 식당, 마트",www.welfare.mil.kr
7,계룡스파텔,대전시 유성구 온천로 81,143,지상 10층,042-602-1111,"예식, 연회, 식당, 커피숍, 스카이라운지, 온천, 꽃집, 마트",www.jaekyungdan.mil.kr
8,육군회관,서울시 용산구 이태원로 22,38,지상 4층,02-793-3202,"예식, 연회",www.jaekyungdan.mil.kr
9,서울해군회관,서울시 영등포구 가마산로 540,25,"본관(지상 2층), 영빈관(지상5층)",02-810-4318,"예식, 연회, 스포츠센터, 사우나, 식당, 이발관, 커피숍, 스크린골프장",welfare.navy.mil.kr
10,제주해군호텔,제주 제주시 해안마을 서2길19,51,지상 3층,064-748-7483,"연회, 식당, 특산품점",welfare.navy.mil.kr
11,진해해군회관,경남 창원시 진해구 충장로10-40,20,"신관(지상2층), 구관(지상1층), 별관(지상3층)",055-543-5012,"웨딩, 연회,",welfare.navy.mil.kr
12,해운대 그린나래호텔,부산시 해운대구 해운대해변로 233,73,지상 16층,051-744-8160,"웨딩홀, 연회, 세미나, 스카이라운지, 뷔페",www.guerinnarae.com
13,공군회관,서울시 영등포구 여의대방로 49길 14,25,지상 7층,02-810-6080,"웨딩홀, 연회, 커피숍, 스카이라운지, 헬스장 스크린골프",www.airforceclub.co.kr
