행번호,사진제목,지역명,이미지 파일,관련 시설명,시설위치,연락처
1,청간정콘도_01,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=20852,청간정콘도,강원도 고성군 토성면 중앙로 642-22,033-631-9331
2,청간정콘도_02,강원,https://www.welfare.mil.kr/board/imgView.do?bf_idx=10610,청간정콘도,강원도 고성군 토성면 중앙로 642-22,033-631-9331
3,청간정콘도_03,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=20847,청간정콘도,강원도 고성군 토성면 중앙로 642-22,033-631-9331
4,화진포콘도_01,강원,https://www.welfare.mil.kr/plant/imgView.do?pf_code=143&type=3,화진포콘도,강원도 고성군 거진읍 화진포길 330,033-682-0500
5,화진포콘도_02,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=2478,화진포콘도,강원도 고성군 거진읍 화진포길 330,033-682-0500
6,이승만별장_01,강원,https://www.welfare.mil.kr/board/imgView.do?bf_idx=3503,화진포콘도,강원도 고성군 거진읍 화진포길 330,033-682-0500
7,이승만별장_02,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=2477,화진포콘도,강원도 고성군 거진읍 화진포길 330,033-682-0500
8,김일성별장_01,강원,https://www.welfare.mil.kr/board/imgView.do?bf_idx=3502,화진포콘도,강원도 고성군 거진읍 화진포길 330,033-682-0500
9,김일성별장_02,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=2476,화진포콘도,강원도 고성군 거진읍 화진포길 330,033-682-0500
10,대천콘도_01,충남,https://www.welfare.mil.kr/editorImageView.do?ei_idx=495,대천콘도1관,충청남도 보령시 갓바위1길 10-30,041-932-6305
11,대천콘도_02,충남,https://www.welfare.mil.kr/plant/imgView.do?pf_code=252&type=3,대천콘도2관,충남 보령시 남포방조제로 139,041-932-6305
12,남포방조제,충남,https://www.welfare.mil.kr/editorImageView.do?ei_idx=1674,대천콘도2관,충남 보령시 남포방조제로 139,041-932-6305
13,송정콘도_01,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=505,송정콘도,강원도 강릉시 창해로 141,033-652-7573
14,송정콘도_02,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=232,송정콘도,강원도 강릉시 창해로 141,033-652-7573
15,서귀포호텔_01,제주,https://www.welfare.mil.kr/editorImageView.do?ei_idx=20780,서귀포호텔,제주특별자치도 서귀포시 상예로 319,064-738-0123
16,서귀포호텔_02,제주,https://www.welfare.mil.kr/editorImageView.do?ei_idx=20773,서귀포호텔,제주특별자치도 서귀포시 상예로 319,064-738-0123
17,청간정콘도_04,강원,https://www.welfare.mil.kr/editorImageView.do?ei_idx=499,청간정콘도,강원도 고성군 토성면 중앙로 642-22,033-631-9331
