행번호,지역,시설명,할인행사명,시작일,종료일,연락처,홈페이지,상세설명
1,서울,세종호텔,연중 객실할인,2018-09-17,,02-3705-9115,https://www.welfare.mil.kr,"객실: 50% 이상,연회 : 10%∼15%"
2,경남,거제삼성호텔 ,연중 객실할인,2017-01-01,,055-631-2114,https://www.welfare.mil.kr,객실  55%～62%내외
3,경기,베어스타운리조트,연중 객실할인,2016-11-25,,02-456-2014,https://www.cielsportsmedia.co.kr,"프로모션(패키지상품)위주로  운영, 현장결재(최저가보장), 씨엘스포츠 폐쇄몰 이용"
4,강원,하이원리조트,연중 객실할인,2017-06-19,,1588-7789,https://www.welfare.mil.kr,"프로모션(패키지상품)위주로  운영, 현장결재(최저가보장)"
5,강원,용평리조트 객실할인,연중 객실할인,2016-07-01,,02-456-2014,https://www.welfare.mil.kr,"프로모션(패키지상품)위주로  운영, 현장결재(최저가보장),씨엘스포츠 폐쇄몰 이용"
6,경남,코오롱호텔(경주),연중 객실할인,2016-07-26,,1600-8668,https://www.welfare.mil.kr,"30% ～ 50%, 분기별 프로모션 제공으로 할인율 변동 있음"
7,경남,코오롱 씨클라우드호텔(해운대),연중 객실할인,2016-07-26,,051-933-1000,https://www.welfare.mil.kr,"30% ～ 50%, 분기별 프로모션 제공으로 할인율 변동 있음"
8,경남,코오롱 마우나오션리조트(경주),연중 객실할인,2016-07-26,,054-740-0500,https://www.welfare.mil.kr,"30% ～ 50%, 분기별 프로모션 제공으로 할인율 변동 있음"
9,경기,호텔더숨포레스트,연중 객실할인,2016-10-01,,1577-2777,https://www.welfare.mil.kr,20% ～ 30%
10,경남,거제씨앤스카이 리조트,연중 객실할인,2017-02-16,,055-682-0102,https://www.welfare.mil.kr,"30% ～ 50%, 분기별 프로모션 제공으로 할인율 변동 있음"
11,서울,코리아나호텔,연중 객실할인,2018-05-01,,02-2171-7842,https://www.welfare.mil.kr,73%∼76%
12,서울,신라스테이서대문/마포호텔,연중 객실할인,2018-05-03,,02-2230-0700,https://www.welfare.mil.kr,60%∼72%
13,인천,네스트호텔,연중 객실할인,2018-06-19,,032-743-9000,https://www.welfare.mil.kr,수시 프로모션(패키지)상품으로  운영
14,제주,제주다인오세아노호텔앤리조트,연중 객실할인,2018-10-01,,1811-0012,https://www.welfare.mil.kr,"객실할인50% 내외, 바베큐등 할인제공"
15,서울,롯데씨티호텔마포/구로/대전점,연중 객실할인,2018-10-01,,02-771-1004,https://www.welfare.mil.kr,객실할인 40%~60%
16,서울,롯데호텔(소공동),연중 객실할인,2019-05-01,,02-759-7311,https://www.welfare.mil.kr,"프로모션(패키지상품)으로  운영, 40% ∼ 50% 상품별 상이"
17,"서울,강원",켄싱턴호텔 여의도/평창/설악 지점,연중 객실할인,2019-05-13,,1670-7461,https://www.welfare.mil.kr,"프로모션(패키지상품)위주로  운영, 60% ∼ 70%"
18,부산,신라스테이해운대,연중 객실할인,2019-10-15,,02-22300700,https://www.welfare.mil.kr,"50%∼72%, 겨울/여름성수기 이용 제한"
19,강원,라마다호텔(평창),연중 객실할인,2019-08-22,,033-333-1000,https://www.welfare.mil.kr,객실할인 40%~60%
20,강원,풍림아이원호텔&리조트(평창),연중 객실할인,2019-08-22,,02-528-6001,https://www.welfare.mil.kr,객실할인 40%~60%
21,부산,아스티부산호텔,연중 객실할인,2019-08-22,,051-409-8888,https://www.welfare.mil.kr,40%∼75%내외
22,대구,대구그랜드호텔,연중 객실할인,2019-08-22,,053-742-0001,https://www.welfare.mil.kr,40%∼75%내외
23,제주,아스타호텔 제주,연중 객실할인,2019-08-22,,064-710-1111,https://www.welfare.mil.kr,40%∼75%내외
24,제주,그라벨제주호텔,연중 객실할인,2019-08-22,,064-740-8000,https://www.welfare.mil.kr,40%∼75%내외
25,서울,글래드호텔 마포/여의도,연중 객실할인,2019-08-22,,02-6222-5000,https://www.welfare.mil.kr,"객실40%∼60%내외, 레스토랑할인10%"
26,부산,농심호텔,연중 객실할인,2019-08-22,,051-550-2100,https://www.welfare.mil.kr,40%∼75%내외
27,경북,호텔 금오산,연중 객실할인,2019-08-22,,054-450-4000,https://www.welfare.mil.kr,40%∼75%내외
28,강원,인제스피디움,연중 객실할인,2019-08-22,,1644-3366,https://www.welfare.mil.kr,40%∼75%내외
29,서울,포포츠버이쉐라톤강남호텔,연중 객실할인,2019-08-22,,02-2160-8990,https://www.welfare.mil.kr,40%∼75%내외
30,서울,베스트웨스턴프리미어 서울가든호텔,연중 객실할인,2019-08-22,,02-710-7111,https://www.welfare.mil.kr,40%∼75%내외
31,제주,씨에스호텔앤리조트,연중 객실할인,2019-08-22,,064-735-3000,https://www.welfare.mil.kr,40%∼75%내외
32,울산,롯데호텔 울산,연중 객실할인,2019-08-22,,052-960-1000,https://www.welfare.mil.kr,40%∼75%내외
33,서울,더프라자호텔 서울,연중 객실할인,2019-08-22,,02-310-7710,https://www.welfare.mil.kr,29%-61%
34,서울,더 웨스틴 조선 호텔,연중 객실할인,2020-08-15,,02-317-0404,https://www.welfare.mil.kr,40%∼75%내외
35,전남,디오션리조트호텔(여수),연중 객실할인,2020-09-01,,1588-0009,https://www.welfare.mil.kr,56%∼85%
36,전남,라마다플라자호텔(광주),연중 객실할인,2020-08-15,,062-717-7000,https://www.welfare.mil.kr,50%∼60%
37,제주,라마다플라자호텔(제주),연중 객실할인,2020-10-19,,064-729-8100,https://www.welfare.mil.kr,62%～67%
38,제주,라마다제주 시티호텔(제주),연중 객실할인,2021-07-31,,064-759-8831,https://www.welfare.mil.kr,69%～78%
39,제주,캠퍼트리호텔&리조트(제주),연중 객실할인,2021-07-31,,064-795-8888,https://www.welfare.mil.kr,64%～76%
40,제주,노보텔앰배서더 수원(제주),연중 객실할인,2021-07-31,,031-547-6600,https://www.welfare.mil.kr,"63%～70%, 조식39% 할인, 사우나 58% 할인"
41,충북,청풍리조트(제천),연중 객실할인,2021-07-31,,043-640-7000,https://www.welfare.mil.kr,"30%～67%, 레스토랑 10% 할인, 사우나/수영장 50% 할인"
42,경상,펠릭스 바이 에스티엑스(해운대),연중 객실할인,2022-01-26,,051-969-5000,https://www.welfare.mil.kr,"50%～78%, 조식 17% 할인"
