TMO명,일반전화번호,평일운용시간(시작),평일운용시간(종료),주말운용시간(시작),주말운용시간(종료),위치설명,비고
강릉,033-641-9690,7:00,18:00,7:00,18:00,3번출구2시방향여자화장실옆,
경산,053-750-4556,7:20,17:10,,,경산역출구에서좌측4m지점,휴일미운용
계룡,042-550-4254,6:30,20:00,6:30,20:00,계룡역역광장출구방향정면30m지점붉은벽돌건물,
광명,02-801-6791,7:00,19:00,7:00,19:00,광명역서편1번출구지하1층,
광주송정,062-940-7788,7:00,19:00,7:00,19:00,광주송정역1층운영,
구포,051-730-6787,8:00,18:00,,,구포역출구에서우측2m지점,"금, 일19:20"
김천구미,054-440-8034,8:00,18:00,13:00,17:00,김천구미역정문에서15m직진후역안내판에서우측15m지점,
논산,041-746-4297,7:30,18:00,7:30,18:00,논산역중앙출구에서우측으로10m방향2층,
대전,042-550-4252,6:30,20:00,6:30,20:00,대전역서광장방향대전역지구대(파출소)좌측,
덕정,031-828-3245,8:30,17:30,,,덕정역정면화장실우측통로출구좌측지점,휴일미운용
동서울,02-3419-7979,9:00,18:00,9:00,18:00,동서울터미널3층에스컬레이터정면5m지점,
동대구,053-750-4555,7:00,20:00,7:00,20:00,동대구역4번출구우측2m지점,
마산,055-549-1099,8:00,18:00,8:00,18:00,마산역1층우측10m지점,
만종,033-736-7788,8:00,12:00,8:00,12:00,만종역대합실,
목포,061-242-1992,7:00,18:00,7:00,18:00,목포역출구방향대로우측50m지점(LIG손해보험맞은편),
부강,044-251-6073,7:30,18:00,7:30,18:00,부강역열차탑승출구에서우측끝,
부산,051-730-6910,7:00,20:00,7:00,20:00,부산역5번출구방향에서2m지점,
부평,032-500-6943,,,,,인천광역시부평구광장로16부평역내2층,
서울,02-748-7458,6:30,23:00,6:30,23:00,서울역사2층서부출입구우측10m지점,
서대전,042-550-4253,8:00,18:00,8:00,18:00,서대전역정면방향에서우측길사이진입로,
수서,02-445-2979,7:00,19:00,7:00,19:00,수서역2번출구치안센터옆,
수원,031-207-7409,7:00,18:00,7:00,18:00,수원역대합실주차장가는길3번출구좌측5m이동후우측출입문계단이용,
신경주,054-290-2692,8:00,18:00,8:00,13:00,신경주역내1번출구우측으로10m지점,
신탄진,,,,,,신탄진역정문,휴일미운용
연무대,,,,,,육군훈련소,휴일미운용
영동,043-740-8789,7:00,18:00,7:00,18:00,영동역2층사무실,
영천,054-330-3230,7:00,18:00,7:00,18:00,영천역광장에서우측3m지점,
오송,043-231-7347,7:00,19:00,7:00,19:00,1번출구바로옆,
오근장,043-200-4757,8:00,18:00,,,오근장역출구우측5m지점,휴일미운용
용산,02-748-7464,7:00,20:00,7:00,20:00,용산역4층아이파크몰서관입구맞은편,
울산,052-930-8040,8:00,18:00,8:00,18:00,울산역4번출구로부터50m지점,
원주,033-740-4572,7:00,18:00,7:00,18:00,원주역광장정면우측10m지점,
익산,063-260-3848,7:00,18:00,7:00,18:00,익산역임시역사정면에서좌측공사현장아래보도에서20m도보이동후우측50m지점,
장성,061-392-6381,7:00,18:00,7:00,18:00,장성역출구우측20m지점,
전주,063-249-7186,8:00,18:00,8:00,18:00,전주역출구우측10m지점(역공중화장실옆),
제천,,,,,,5탄약창적하화시설에출장소개념으로있음(간판),
조치원,044-862-0374,8:00,18:00,8:00,18:00,조치원역정문에서좌측주차장방면10m지점,
증평,043-836-3997,7:30,18:00,7:30,18:00,증평역앞주차장에서왼쪽으로30m지점,
지평,,,,,,지평역정면에서맨우측출입문,
진주,055-753-3175,9:00,18:00,,,진주역입구로부터11시방향5m,주말미운용
진해,,,,,,진해역출구에서우측5m지점,출장형
창원,055-250-4274,8:00,18:00,8:00,18:00,창원역1층,
창원중앙,055-549-1097,8:00,18:00,8:00,18:00,창원중앙역내,
천안아산,041-532-7213,8:00,18:00,8:00,18:00,천안아산역2층훼미리마트맞은편,
청량리,02-748-7452,8:00,18:00,8:00,18:00,중앙선-청량리역지상출구로나와에스컬레이터로하행후좌측5m1호선-청량리역4분출구우축전방20m,
춘천,033-251-6305,7:00,18:00,7:00,18:00,춘천역1번출구좌측광장끝100m지점,
퇴계원,031-579-0400,8:30,17:30,,,퇴계원역1층,휴일미운용
평택,031-657-1776,7:00,18:00,7:00,18:00,평택역서부역에스컬레이터로하행후좌측10미터지점,
포항,054-290-2691,8:00,18:00,8:00,18:00,포항역출구좌측10m지점,
홍성,041-631-3729,8:00,18:00,8:00,18:00,홍성역사무실2층,
