id,구분,부대명
1,육군,육군미사일전략사령부
2,육군,무극부대
3,육군,육군항공작전사령부
4,육군,불사조부대
5,육군,제1항공여단
6,육군,제2항공여단
7,육군,항공정비여단
8,육군,의무후송항공대대
9,육군,메디온부대
10,육군,육군군수사령부
11,육군,칠성대부대
12,육군,종합정비창
13,육군,종합보급창
14,육군,탄약지원사령부
15,육군,육군인사사령부
16,육군,육군사관학교
17,육군,화랑대부대
18,육군,육군3사관학교
19,육군,충성대부대
20,육군,육군수도방위사령부
21,육군,방패부대
22,육군,제52향토보병사단
23,육군,화살부대
24,육군,제56향토보병사단
25,육군,북한산부대
26,육군,제1방공여단
27,육군,제1경비단
28,육군,제122정보통신단
29,육군,제1113공병단
30,육군,군사경찰단
31,육군,제3군사경찰대대
32,육군,제5군사경찰대대
33,육군,제7군사경찰대
34,육군,제33군사경찰대
35,육군,특별경호대
36,육군,특수임무대
37,육군,방패교육대
38,육군,제35특공대대
39,육군,육군특수전사령부
40,육군,사자부대
41,육군,제1공수특전여단
42,육군,독수리부대
43,육군,제3공수특전여단
44,육군,비호부대
45,육군,제7공수특전여단
46,육군,천마부대
47,육군,제9공수특전여단
48,육군,귀성부대
49,육군,제11공수특전여단
50,육군,황금박쥐부대
51,육군,제13특수임무여단
52,육군,흑표부대
53,육군,국제평화지원단
54,육군,온누리부대
55,육군,아랍에미리트 군사훈련협력단
56,육군,아크부대
57,육군,레바논 평화유지단
58,육군,동명부대
59,육군,남수단 재건지원단
60,육군,한빛부대
61,육군,육군특수전학교
62,육군,제707특수임무단
63,육군,백호부대
64,육군,육군교육사령부
65,육군,창조대부대
66,육군,육군훈련소
67,육군,육군보병학교
68,육군,육군기계화학교
69,육군,육군포병학교
70,육군,육군방공학교
71,육군,육군공병학교
72,육군,육군정보학교
73,육군,육군정보통신학교
74,육군,육군항공학교
75,육군,육군화생방학교
76,육군,육군종합행정학교
77,육군,육군과학화전투훈련단
78,육군,전투지휘훈련단
79,육군,육군학생군사학교
80,육군,육군부사관학교
81,육군,동원전력사령부
82,육군,제60동원보병사단
83,육군,권율부대
84,육군,제72동원보병사단
85,육군,올림픽부대
86,육군,제66동원보병사단
87,육군,횃불부대
88,육군,제75동원보병사단
89,육군,철마부대
