병원명,우편번호,병원 주소,병원 연락처
국군강릉병원,25422,강원도 강릉시 주문진읍 동해대로 4371-34,033-662-7802
국군고양병원,10268,경기도 고양시 덕양구 혜음로 215 ,1688-9162
국군구리병원,11913,경기도 구리시 인창2로 177,031-331-1777
국군대구병원,38427,경북 경산시 하양읍 대경로 425-41,053-750-1731
국군대전병원,34059,대전광역시 유성구 자운로 90,1688-9152
국군수도병원,13574,경기도 성남시 분당구 새마을로 177번길 81,031-725-6533
국군양주병원,11506,경기도 양주시 은현면 화합로 1133,1688-9163
국군춘천병원,24207,강원도 춘천시 방고개길 57,033-243-0130
국군포천병원,11123,경기도 포천시 화현면 화동로 564,031-531-0803
국군함평병원,57716,전남 함평군 해보면 신해로 1027,061-390-5902
국군홍천병원,25164,강원도 홍천군 두촌면 아홉사리로 53,1688-9167
서울지구병원,03050,서울시 종로구 삼청로 10길 13,02-397-3911
