구분(dvs),품명(itmnm),육군(army),해군(navy),해병(mr),공군(af)
1,전투복,2,,2,2
2,하계전투복(상의),1,,1,1
3,하계전투복(하의),2,,2,2
4,컴뱃셔츠,2,2,2,2
5,베레모,1,,,
6,전투모,1,,1,1
7,기능성전투화,2,,2,2
8,해상병전투복,,4,,
9,정모(게리슨모),,2,1,1
10,근무모,,1,,
11,운동모(활동모),1,,1,1
12,동계생활모,1,1,1,1
13,동근무복,,,1,1
14,하근무복,,,1,1
15,단화,,2,,1
16,방상외피,1,,1,1
17,방상내피,1,,1,1
18,외투(반코트),,1,,1
19,동내의,2,1,1,1
20,춘추내의,,1,1,1
21,의류대,1,1,1,1
22,장갑,1,1,1,1
23,런닝,7,7,7,7
24,팬티,7,7,7,7
25,디지털요대,1,1,1,1
26,요대/박클,,2,1,1
27,인식표/줄,1,1,1,1
28,모/면양말,6,6,6,6
29,방한양말,2,,2,
30,단양말,,5,,5
31,면수건,6,6,6,6
32,손수건,2,2,2,2
33,동정복,,1,,
34,하정복,,1,,
35,전투용장갑,1,1,1,1
36,모장갑,1,1,1,1
37,운동화,2,2,2,2
38,동운동복,2,2,2,2
39,하운동복,2,2,2,2
40,춘추운동복,2,2,2,2
41,세면주머니,1,1,1,1
42,슬리퍼,1,1,1,1
43,고무줄,1,,1,1
44,안면마스크,1,1,1,1
45,귀덮개,1,1,1,1
46,목도리,,1,1,1
47,축구화,1,1,1,1
48,넥타이(핀),,,,1
49,넥카치프(링),,1,,
50,백색마후라,,1,,
51,패딩형동계점퍼,1,1,1,1
52,전투용안경,1,1,1,1
