연도,구분,장교,부사관,병,군무원
2010,육군,5.2,7,39.8,1.2
2010,해군,0.7,1.8,1.7,0.4
2010,해병대,0.2,0.5,2,0.1
2010,공군,1.1,1.9,3.5,0.4
2010,기타,0,0,0,0.5
2011,육군,5.2,7,39.3,1.2
2011,해군,0.7,1.8,1.7,0.4
2011,해병대,0.2,0.5,2,0.1
2011,공군,1.1,1.9,3.5,0.4
2011,기타,0,0,0,0.5
2012,육군,5.1,7.2,38.2,1.2
2012,해군,0.7,1.7,1.7,0.4
2012,해병대,0.2,0.6,2.1,0.1
2012,공군,1.1,1.9,3.5,0.4
2012,기타,0,0,0,0.5
2013,육군,5.1,7.4,37.6,1.2
2013,해군,0.7,1.7,1.7,0.4
2013,해병대,0.2,0.6,2.1,0.1
2013,공군,1.1,1.9,3.5,0.4
2013,기타,0,0,0,0.5
2014,육군,5.1,7.6,36.9,1.2
2014,해군,0.7,1.7,1.7,0.4
2014,해병대,0.2,0.6,2.1,0.1
2014,공군,1.1,1.9,3.5,0.4
2014,기타,0,0,0,0.5
2015,육군,5.2,7.7,36.6,1.2
2015,해군,0.7,1.7,1.7,0.4
2015,해병대,0.2,0.6,2.1,0.1
2015,공군,1.1,1.9,3.5,0.4
2015,기타,0,0,0,0.5
2016,육군,5.1,8,35.9,1.2
2016,해군,0.7,1.7,1.7,0.4
2016,해병대,0.2,0.6,2.1,0.1
2016,공군,1.1,1.9,3.5,0.4
2016,기타,0,0,0,0.5
2017,육군,5.1,8.2,35,1.2
2017,해군,0.7,1.8,1.7,0.4
2017,해병대,0.2,0.6,2,0.1
2017,공군,1.1,1.9,3.5,0.4
2017,기타,0,0,0,0.5
2018,육군,5.1,8.4,32.9,1.2
2018,해군,0.7,1.8,1.7,0.4
2018,해병대,0.2,0.6,2,0.1
2018,공군,1.2,1.9,3.5,0.4
2018,기타,0,0,0,0.6
2019,육군,5,8.4,31,1.5
2019,해군,0.7,1.8,1.6,0.4
2019,해병대,0.2,0.6,2,0.1
2019,공군,1.2,1.9,3.4,0.5
2019,기타,0,0,0,0.7
