행번호,군별,법원 명,법원 연락처
"1","공군","공군본부 군사법원","042-552-2924, 5"
"2","공군","교육사령부 보통군사법원","055-751-6711"
"3","공군","작전사령부 보통군사법원","031-669-1175"
"4","공군","공중기동정찰사령부 보통군사법원","031-669-1472"
"5","공군","방공유도탄사령부 보통군사법원","031-669-1293"
"6","공군","방공관제사령부 보통군사법원","070-7790-6072"
"7","공군","공중전투사령부 보통군사법원","053-989-6033"
"8","국방부","고등군사법원","02-748-1476, 1477, 1471, 1472, 1473, 1474"
"9","국방부","국방부 보통군사법원","02-748-1433, 1434"
"10","육군","육군본부 보통군사법원","042-550-6655"
"11","육군","수도방위사령부 보통군사법원","02-524-1532"
"12","육군","특수전사령부 보통군사법원","02-3403-1531"
"13","육군","교육사령부 보통군사법원","042-878-6154"
"14","육군","군수사령부 보통군사법원","042-616-1504"
"15","육군","1군사령부 보통군사법원","033-740-1531"
"16","육군","2군단 보통군사법원","033-249-1506"
"17","육군","3군단 보통군사법원","033-460-7627"
"18","육군","8군단 보통군사법원","033-672-1560"
"19","육군","2작전사령부 보통군사법원","053-750-1531, 7"
"20","육군","3군사령부 보통군사법원","031-331-1531"
"21","육군","수도군단 보통군사법원","031-440-1531"
"22","육군","1군단 보통군사법원","031-963-6558"
"23","육군","5군단 보통군사법원","031-534-6632"
"24","육군","6군단 보통군사법원","031-530-1531"
"25","육군","7군단 보통군사법원","031-640-1530"
"26","해군","해군본부 군사법원","042-553-6862"
"27","해군","작전사 보통군사법원","051-679-6851"
"28","해군","해군제1함대 보통군사법원","033-532-4685"
"29","해군","해군제2함대 보통군사법원","031-685-4674"
"30","해군","해병대사령부 보통군사법원","031-8012-3079"
"31","해군","해병제1사단 보통군사법원","054-290-3689"
"32","해군","해병제2사단 보통군사법원","033-454-3682"
