행번호,종목,구분,성별,연령 하한선,연령 상한선,등급,기준 하한선,기준 상한선
"1","팔굽혀펴기(2분)","군인","남성","0","25","특급(합격)","72","999"
"2","팔굽혀펴기(2분)","군인","남성","0","25","1급(합격)","64","71"
"3","팔굽혀펴기(2분)","군인","남성","0","25","2급(합격)","56","63"
"4","팔굽혀펴기(2분)","군인","남성","0","25","3급(합격)","48","55"
"5","팔굽혀펴기(2분)","군인","남성","0","25","불합격","0","47"
"6","","","","","","","",""
"7","팔굽혀펴기(2분)","군인","남성","26","30","특급(합격)","70","999"
"8","팔굽혀펴기(2분)","군인","남성","26","30","1급(합격)","62","69"
"9","팔굽혀펴기(2분)","군인","남성","26","30","2급(합격)","54","61"
"10","팔굽혀펴기(2분)","군인","남성","26","30","3급(합격)","46","53"
"11","팔굽혀펴기(2분)","군인","남성","26","30","불합격","0","45"
"12","","","","","","","",""
"13","팔굽혀펴기(2분)","군인","남성","31","35","특급(합격)","68","999"
"14","팔굽혀펴기(2분)","군인","남성","31","35","1급(합격)","60","67"
"15","팔굽혀펴기(2분)","군인","남성","31","35","2급(합격)","52","59"
"16","팔굽혀펴기(2분)","군인","남성","31","35","3급(합격)","44","51"
"17","팔굽혀펴기(2분)","군인","남성","31","35","불합격","0","43"
"18","","","","","","","",""
"19","팔굽혀펴기(2분)","군인","남성","36","40","특급(합격)","65","999"
"20","팔굽혀펴기(2분)","군인","남성","36","40","1급(합격)","57","64"
"21","팔굽혀펴기(2분)","군인","남성","36","40","2급(합격)","49","56"
"22","팔굽혀펴기(2분)","군인","남성","36","40","3급(합격)","41","48"
"23","팔굽혀펴기(2분)","군인","남성","36","40","불합격","0","40"
"24","","","","","","","",""
"25","팔굽혀펴기(2분)","군인","남성","41","43","특급(합격)","61","999"
"26","팔굽혀펴기(2분)","군인","남성","41","43","1급(합격)","53","60"
"27","팔굽혀펴기(2분)","군인","남성","41","43","2급(합격)","45","52"
"28","팔굽혀펴기(2분)","군인","남성","41","43","3급(합격)","37","44"
"29","팔굽혀펴기(2분)","군인","남성","41","43","불합격","0","36"
"30","","","","","","","",""
"31","팔굽혀펴기(2분)","군인","남성","44","46","특급(합격)","57","999"
"32","팔굽혀펴기(2분)","군인","남성","44","46","1급(합격)","49","56"
"33","팔굽혀펴기(2분)","군인","남성","44","46","2급(합격)","41","48"
"34","팔굽혀펴기(2분)","군인","남성","44","46","3급(합격)","33","40"
"35","팔굽혀펴기(2분)","군인","남성","44","46","불합격","0","32"
"36","","","","","","","",""
"37","팔굽혀펴기(2분)","군인","남성","47","49","특급(합격)","54","999"
"38","팔굽혀펴기(2분)","군인","남성","47","49","1급(합격)","46","53"
"39","팔굽혀펴기(2분)","군인","남성","47","49","2급(합격)","38","45"
"40","팔굽혀펴기(2분)","군인","남성","47","49","3급(합격)","30","37"
"41","팔굽혀펴기(2분)","군인","남성","47","49","불합격","0","29"
"42","","","","","","","",""
"43","팔굽혀펴기(2분)","군인","남성","50","51","특급(합격)","51","999"
"44","팔굽혀펴기(2분)","군인","남성","50","51","1급(합격)","43","50"
"45","팔굽혀펴기(2분)","군인","남성","50","51","2급(합격)","35","42"
